rosbagTimestamp,desired_hall,fz,real_hall
1660055311254795891,6.0,-0.0794508457184,-4.47944408417
1660055311256801790,6.0,-0.0734921246767,-4.47944408417
1660055311258893905,6.0,-0.0600443296134,-4.47944408417
1660055311260844177,6.0,-0.0490185022354,-4.47944408417
1660055311262830670,6.0,-0.040644466877,-4.47701793671
1660055311264797041,6.0,-0.0447967872024,-4.47734361649
1660055311266774619,6.0,-0.0459064207971,-4.47747665405
1660055311268782213,6.0,-0.0502376817167,-4.47769504547
1660055311270841984,6.0,-0.0561758950353,-4.47548681259
1660055311272827563,6.0,-0.058644041419,-4.47355371475
1660055311274791899,6.0,-0.0496205538511,-4.47355371475
1660055311276797476,6.0,-0.0466427579522,-4.47355371475
1660055311278793344,6.0,-0.0593214072287,-4.47645860672
1660055311280798588,6.0,-0.0602670162916,-4.47691541672
1660055311282805002,6.0,-0.0501429215074,-4.47710186005
1660055311284767495,6.0,-0.0491231381893,-4.47740751266
1660055311286786875,6.0,-0.0418753921986,-4.47753292084
1660055311288787853,6.0,-0.0415657944977,-4.47993808746
1660055311290783018,6.0,-0.0515633374453,-4.47993808746
1660055311292764277,6.0,-0.0613948963583,-4.47993808746
1660055311294772613,6.0,-0.0706871300936,-4.47974687576
1660055311296812882,6.0,-0.0795162171125,-4.48172765732
1660055311298780989,6.0,-0.0776436179876,-4.48131280899
1660055311300788371,6.0,-0.0566695965827,-4.48292642593
1660055311302791948,6.0,-0.0504248961806,-4.48236185074
1660055311304784452,6.0,-0.0443672314286,-4.48416095734
1660055311306792281,6.0,-0.0403739288449,-4.48416095734
1660055311308789406,6.0,-0.0331939831376,-4.48416095734
1660055311310806312,6.0,-0.0453318506479,-4.48344236374
1660055311312787367,6.0,-0.0674277022481,-4.48510604858
1660055311314801517,6.0,-0.0760208889842,-4.4835367775
1660055311316823505,6.0,-0.0745198577642,-4.48663383484
1660055311318774294,6.0,-0.0778508111835,-4.48560625076
1660055311320765277,6.0,-0.0623000748456,-4.4869990921
1660055311322761857,6.0,-0.0417972542346,-4.4869990921
1660055311324774330,6.0,-0.0348818749189,-4.4869990921
1660055311326806554,6.0,-0.0405536592007,-4.4869990921
1660055311328846338,6.0,-0.0447240509093,-4.48699241638
1660055311330834274,6.0,-0.0599343255162,-4.48362785339
1660055311332824311,6.0,-0.0622239634395,-4.48526817322
1660055311334818251,6.0,-0.0637128055096,-4.48441129684
1660055311336817859,6.0,-0.0651630833745,-4.48300510406
1660055311338812485,6.0,-0.0695009976625,-4.48243051529
1660055311340789125,6.0,-0.0519597791135,-4.48243051529
1660055311342794165,6.0,-0.0324981808662,-4.48243051529
1660055311344821504,6.0,-0.029716655612,-4.48378139496
1660055311346811081,6.0,-0.0415241345763,-4.48311048508
1660055311348814484,6.0,-0.0469060204923,-4.479713974
1660055311350800666,6.0,-0.0587032772601,-4.47955041885
1660055311352818320,6.0,-0.0571700632572,-4.47940736771
1660055311354811171,6.0,-0.0681705921888,-4.47928243637
1660055311356805929,6.0,-0.0709822177887,-4.47928243637
1660055311358811947,6.0,-0.074139341712,-4.47928243637
1660055311360798329,6.0,-0.0584108158946,-4.4814682579
1660055311362786303,6.0,-0.0492028743029,-4.48275810242
1660055311364770664,6.0,-0.0447073951364,-4.48450761795
1660055311366810268,6.0,-0.0366322770715,-4.48107152939
1660055311368788697,6.0,-0.0336096212268,-4.48073869705
1660055311370792780,6.0,-0.0535337217152,-4.48044734955
1660055311372787335,6.0,-0.0759195610881,-4.48044734955
